Abílio Santana ,dep.abiliosantana@camara.leg.br,Exmo. Senhor Deputado,531
Abou Anni ,dep.abouanni@camara.leg.br,Exmo. Senhor Deputado,339
Acácio Favacho ,dep.acaciofavacho@camara.leg.br,Exmo. Senhor Deputado,284
Adolfo Viana ,dep.adolfoviana@camara.leg.br,Exmo. Senhor Deputado,911
Adriana Ventura ,dep.adrianaventura@camara.leg.br,Exma. Senhora Deputada,802
Adriano do Baldy ,dep.adrianodobaldy@camara.leg.br,Exmo. Senhor Deputado,419
Aécio Neves ,dep.aecioneves@camara.leg.br,Exmo. Senhor Deputado,20
Afonso Florence ,dep.afonsoflorence@camara.leg.br,Exmo. Senhor Deputado,305
Afonso Hamm ,dep.afonsohamm@camara.leg.br,Exmo. Senhor Deputado,604
Afonso Motta ,dep.afonsomotta@camara.leg.br,Exmo. Senhor Deputado,528
Aguinaldo Ribeiro ,dep.aguinaldoribeiro@camara.leg.br,Exmo. Senhor Deputado,735
Airton Faleiro ,dep.airtonfaleiro@camara.leg.br,Exmo. Senhor Deputado,327
AJ Albuquerque,dep.ajalbuquerque@camara.leg.br,Exmo. Senhor Deputado,708
Alan Rick ,dep.alanrick@camara.leg.br,Exmo. Senhor Deputado,650
Alceu Moreira ,dep.alceumoreira@camara.leg.br,Exmo. Senhor Deputado,238
Alcides Rodrigues ,dep.alcidesrodrigues@camara.leg.br,Exmo. Senhor Deputado,332
Alê Silva ,dep.alesilva@camara.leg.br,Exma. Senhora Deputada,462
Alencar Santana Braga ,dep.alencarsantanabraga@camara.leg.br,Exmo. Senhor Deputado,239
Alessandro Molon ,dep.alessandromolon@camara.leg.br,Exmo. Senhor Deputado,304
Alex Manente ,dep.alexmanente@camara.leg.br,Exmo. Senhor Deputado,205
Alex Santana ,dep.alexsantana@camara.leg.br,Exmo. Senhor Deputado,541
Alexandre Frota ,dep.alexandrefrota@camara.leg.br,Exmo. Senhor Deputado,216
Alexandre Leite ,dep.alexandreleite@camara.leg.br,Exmo. Senhor Deputado,841
Alexandre Padilha ,dep.alexandrepadilha@camara.leg.br,Exmo. Senhor Deputado,956
Alexandre Serfiotis ,dep.alexandreserfiotis@camara.leg.br,Exmo. Senhor Deputado,554
Alexis Fonteyne ,dep.alexisfonteyne@camara.leg.br,Exmo. Senhor Deputado,845
Alice Portugal ,dep.aliceportugal@camara.leg.br,Exma. Senhora Deputada,420
Aliel Machado ,dep.alielmachado@camara.leg.br,Exmo. Senhor Deputado,220
Aline Gurgel ,dep.alinegurgel@camara.leg.br,Exma. Senhora Deputada,342
Aline Sleutjes ,dep.alinesleutjes@camara.leg.br,Exma. Senhora Deputada,550
Aluisio Mendes ,dep.aluisiomendes@camara.leg.br,Exmo. Senhor Deputado,931
Amaro Neto ,dep.amaroneto@camara.leg.br,Exmo. Senhor Deputado,515
André Abdon ,dep.andreabdon@camara.leg.br,Exmo. Senhor Deputado,831
André de Paula ,dep.andredepaula@camara.leg.br,Exmo. Senhor Deputado,754
André Ferreira ,dep.andreferreira@camara.leg.br,Exmo. Senhor Deputado,450
André Figueiredo ,dep.andrefigueiredo@camara.leg.br,Exmo. Senhor Deputado,940
André Fufuca ,dep.andrefufuca@camara.leg.br,Exmo. Senhor Deputado,945
André Janones ,dep.andrejanones@camara.leg.br,Exmo. Senhor Deputado,580
Angela Amin ,dep.angelaamin@camara.leg.br,Exma. Senhora Deputada,252
Antonio Brito ,dep.antoniobrito@camara.leg.br,Exmo. Senhor Deputado,479
Arlindo Chinaglia ,dep.arlindochinaglia@camara.leg.br,Exmo. Senhor Deputado,4
Arnaldo Jardim ,dep.arnaldojardim@camara.leg.br,Exmo. Senhor Deputado,245
Aroldo Martins ,dep.aroldomartins@camara.leg.br,Exmo. Senhor Deputado,437
Arthur Lira ,dep.arthurlira@camara.leg.br,Exmo. Senhor Deputado,942
Arthur Oliveira Maia ,dep.arthuroliveiramaia@camara.leg.br,Exmo. Senhor Deputado,830
Átila Lins ,dep.atilalins@camara.leg.br,Exmo. Senhor Deputado,730
Átila Lira ,dep.atilalira@camara.leg.br,Exmo. Senhor Deputado,640
Augusto Coutinho ,dep.augustocoutinho@camara.leg.br,Exmo. Senhor Deputado,314
Áurea Carolina ,dep.aureacarolina@camara.leg.br,Exma. Senhora Deputada,619
Aureo Ribeiro ,dep.aureoribeiro@camara.leg.br,Exmo. Senhor Deputado,212
Bacelar ,dep.bacelar@camara.leg.br,Exmo. Senhor Deputado,381
Baleia Rossi ,dep.baleiarossi@camara.leg.br,Exmo. Senhor Deputado,829
Benedita da Silva ,dep.beneditadasilva@camara.leg.br,Exma. Senhora Deputada,330
Benes Leocádio ,dep.benesleocadio@camara.leg.br,Exmo. Senhor Deputado,417
Beto Faro ,dep.betofaro@camara.leg.br,Exmo. Senhor Deputado,723
Beto Pereira ,dep.betopereira@camara.leg.br,Exmo. Senhor Deputado,240
Beto Rosado ,dep.betorosado@camara.leg.br,Exmo. Senhor Deputado,840
Bia Cavassa ,dep.biacavassa@camara.leg.br,Exma. Senhora Deputada,448
Bia Kicis ,dep.biakicis@camara.leg.br,Exma. Senhora Deputada,309
Bibo Nunes ,dep.bibonunes@camara.leg.br,Exmo. Senhor Deputado,518
Bilac Pinto ,dep.bilacpinto@camara.leg.br,Exmo. Senhor Deputado,806
Bira do Pindaré ,dep.biradopindare@camara.leg.br,Exmo. Senhor Deputado,480
Boca Aberta ,dep.bocaaberta@camara.leg.br,Exmo. Senhor Deputado,384
Bohn Gass ,dep.bohngass@camara.leg.br,Exmo. Senhor Deputado,469
Bosco Costa ,dep.boscocosta@camara.leg.br,Exmo. Senhor Deputado,742
Bosco Saraiva ,dep.boscosaraiva@camara.leg.br,Exmo. Senhor Deputado,404
Bozzella,dep.bozzella@camara.leg.br,Exmo. Senhor Deputado,582
Bruna Furlan ,dep.brunafurlan@camara.leg.br,Exma. Senhora Deputada,836
Cacá Leão ,dep.cacaleao@camara.leg.br,Exmo. Senhor Deputado,320
Camilo Capiberibe ,dep.camilocapiberibe@camara.leg.br,Exmo. Senhor Deputado,209
Capitão Alberto Neto ,dep.capitaoalbertoneto@camara.leg.br,Exmo. Senhor Deputado,933
Capitão Augusto ,dep.capitaoaugusto@camara.leg.br,Exmo. Senhor Deputado,358
Capitão Fábio Abreu ,dep.capitaofabioabreu@camara.leg.br,Exmo. Senhor Deputado,202
Carla Dickson,dep.carladickson@camara.leg.br,Exma. Senhora Deputada,706
Carla Zambelli ,dep.carlazambelli@camara.leg.br,Exma. Senhora Deputada,482
Carlos Bezerra ,dep.carlosbezerra@camara.leg.br,Exmo. Senhor Deputado,815
Carlos Chiodini ,dep.carloschiodini@camara.leg.br,Exmo. Senhor Deputado,925
Carlos Gomes ,dep.carlosgomes@camara.leg.br,Exmo. Senhor Deputado,285
Carlos Henrique Gaguim ,dep.carloshenriquegaguim@camara.leg.br,Exmo. Senhor Deputado,214
Carlos Jordy ,dep.carlosjordy@camara.leg.br,Exmo. Senhor Deputado,383
Carlos Sampaio ,dep.carlossampaio@camara.leg.br,Exmo. Senhor Deputado,207
Carlos Veras ,dep.carlosveras@camara.leg.br,Exmo. Senhor Deputado,466
Carlos Zarattini ,dep.carloszarattini@camara.leg.br,Exmo. Senhor Deputado,808
Carmen Zanotto ,dep.carmenzanotto@camara.leg.br,Exma. Senhora Deputada,418
Caroline de Toni ,dep.carolinedetoni@camara.leg.br,Exma. Senhora Deputada,476
Cássio Andrade ,dep.cassioandrade@camara.leg.br,Exmo. Senhor Deputado,433
Célio Moura ,dep.celiomoura@camara.leg.br,Exmo. Senhor Deputado,832
Célio Silveira ,dep.celiosilveira@camara.leg.br,Exmo. Senhor Deputado,511
Célio Studart ,dep.celiostudart@camara.leg.br,Exmo. Senhor Deputado,519
Celso Maldaner ,dep.celsomaldaner@camara.leg.br,Exmo. Senhor Deputado,311
Celso Russomanno ,dep.celsorussomanno@camara.leg.br,Exmo. Senhor Deputado,960
Celso Sabino ,dep.celsosabino@camara.leg.br,Exmo. Senhor Deputado,282
Cezinha de Madureira ,dep.cezinhademadureira@camara.leg.br,Exmo. Senhor Deputado,533
Charles Fernandes ,dep.charlesfernandes@camara.leg.br,Exmo. Senhor Deputado,587
Charlles Evangelista ,dep.charllesevangelista@camara.leg.br,Exmo. Senhor Deputado,517
Chico D'Angelo ,dep.chicodangelo@camara.leg.br,Exmo. Senhor Deputado,542
